kappa,eps,c_star,avg_total_inner,avg_cpu,converged_count,conv_rate
10.0,1e-06,100.0,158.25,0.0014855384826660157,20,1.0
10.0,0.0001,10.0,117.1,0.0011028766632080079,20,1.0
10.0,0.01,1.0,128.5,0.0011171698570251465,20,1.0
100.0,1e-12,1000.0,570.65,0.003958165645599365,20,1.0
100.0,1e-06,100.0,303.2,0.002228069305419922,20,1.0
100.0,0.0001,10.0,266.15,0.0018943428993225097,20,1.0
100.0,0.01,1.0,193.2,0.0018726587295532227,20,1.0
1000.0,1e-06,100.0,508.4,0.003402698040008545,20,1.0
1000.0,0.0001,10.0,408.55,0.0029013395309448243,20,1.0
1000.0,0.01,10.0,317.55,0.0024656414985656737,20,1.0
10000.0,1e-06,100.0,764.0,0.005262553691864014,20,1.0
10000.0,0.0001,100.0,663.9,0.004736578464508057,20,1.0
10000.0,0.01,10.0,584.15,0.004361784458160401,20,1.0
