kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,0,0.0001,0.01,500,4000,False,16.553259728155066,0.00011247012184943602,0.24355003213164855,0.17841604085625165,0.042387962341308594
10.0,0,0.001,0.01,500,3830,False,0.02254222212791102,1.5222528558958409e-06,0.00011688997620140049,0.0004082422431456519,0.04109311103820801
10.0,0,0.01,0.01,138,966,True,8.895578753322961e-07,6.24394842470307e-10,3.590587956564889e-09,1.652754965270742e-08,0.010993480682373047
10.0,0,0.1,0.01,20,178,True,9.615953293802519e-07,1.2701923818006727e-08,4.293053609362989e-09,1.7735803186486262e-08,0.0010001659393310547
10.0,0,1.0,0.01,8,128,True,8.17502040415663e-08,9.08889498165896e-08,2.507804676470566e-10,2.6014434242178324e-09,0.0009992122650146484
10.0,0,10.0,0.01,8,155,True,8.760282034952123e-08,1.3406061552445967e-07,5.349780040953657e-10,2.0300136012483942e-09,0.002000093460083008
10.0,0,100.0,0.01,8,165,True,3.186287683421199e-09,8.430795458144272e-07,1.3637595851882467e-11,7.463263947718048e-09,0.0009999275207519531
10.0,0,1000.0,0.01,10,219,True,1.1358524711943978e-10,1.4131639980232603e-07,6.565389143804635e-14,1.7217433713015896e-09,0.0019998550415039062
10.0,0,10000.0,0.01,10,231,True,3.962625462011758e-11,3.5538248636855665e-07,3.04776285205631e-14,7.183267669232063e-09,0.0020122528076171875
10.0,0,0.0001,0.0001,500,7500,False,16.553264149932346,1.176312824021385e-06,0.2435500875470983,0.17841613945110893,0.06365370750427246
10.0,0,0.001,0.0001,500,7096,False,0.022542910600221837,1.1282172282564982e-08,0.00011689363858042695,0.0004082571280640586,0.06340932846069336
10.0,0,0.01,0.0001,138,1932,True,8.900918120124754e-07,4.56417516123781e-12,3.5907767908715976e-09,1.6537550628409258e-08,0.016497135162353516
10.0,0,0.1,0.0001,20,359,True,9.384531500446441e-07,1.1445296311603726e-10,4.195314902460395e-09,1.7323224842749082e-08,0.002655029296875
10.0,0,1.0,0.0001,7,191,True,1.388178885371144e-07,5.433824385105627e-10,7.478521752502095e-10,2.5110402758973654e-09,0.0015723705291748047
10.0,0,10.0,0.0001,4,114,True,7.047449103741605e-08,1.2019135627107774e-07,5.2256560891000984e-11,1.7879287104160345e-09,0.0010595321655273438
10.0,0,100.0,0.0001,4,146,True,2.5881698242270067e-08,1.1656992214014426e-07,7.754143646225431e-11,1.2836535283100752e-09,0.00099945068359375
10.0,0,1000.0,0.0001,4,170,True,1.776601065964208e-07,3.6018416665902695e-07,9.61774649836042e-10,4.415732692445121e-09,0.0015215873718261719
10.0,0,10000.0,0.0001,5,204,True,1.2534773654887783e-11,4.641104276748848e-07,1.051478183959427e-13,4.0039154817339655e-09,0.0011789798736572266
10.0,0,0.0001,1e-06,500,11000,False,16.55326347765975,9.534962780563749e-09,0.24355007569564538,0.178416137900758,0.08735251426696777
10.0,0,0.001,1e-06,500,10571,False,0.022542892984549832,9.670892033177499e-11,0.00011689363900812967,0.0004082567894390781,0.08823108673095703
10.0,0,0.01,1e-06,138,2893,True,8.900838358517794e-07,4.4648913348516796e-14,3.590749487996048e-09,1.6537406941545365e-08,0.024738550186157227
10.0,0,0.1,1e-06,20,530,True,9.38755374048077e-07,9.11132209288604e-13,4.195819180222291e-09,1.73290778635882e-08,0.004297733306884766
10.0,0,1.0,1e-06,7,259,True,1.382722535096799e-07,1.0607409954624929e-11,7.427655860402464e-10,2.4990065590255134e-09,0.001993417739868164
